game_ended,height,width,frame_num,score,num_balls,ball_coordinates,paddle_height,paddle_top_coordinate
False,39,75,0,0,1,"[(32, 10)]",10,"(1, 25)"
False,39,75,1,0,1,"[(34, 10)]",10,"(1, 25)"
False,39,75,2,0,1,"[(36, 10)]",10,"(1, 25)"
False,39,75,3,0,1,"[(37, 10)]",10,"(1, 25)"
False,39,75,4,0,1,"[(39, 10)]",10,"(1, 25)"
False,39,75,5,0,1,"[(41, 10)]",10,"(1, 25)"
False,39,75,6,0,1,"[(42, 10)]",10,"(1, 25)"
False,39,75,7,0,1,"[(44, 10)]",10,"(1, 25)"
False,39,75,8,0,1,"[(46, 10)]",10,"(1, 25)"
False,39,75,9,0,1,"[(48, 11)]",10,"(1, 25)"
False,39,75,10,0,1,"[(49, 11)]",10,"(1, 25)"
False,39,75,11,0,1,"[(51, 11)]",10,"(1, 25)"
True,39,75,12,0,4,PASS,PASS,PASS
